证券代码,证券简称,地域概念名称,板块代码,概念名称,收盘价(元),涨跌幅(%),涨跌(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),最新股息率(%),总市值(亿元),流通市值(元),行业名称,分类
000002,万科A,,,,3.34,0.3,0.01,3.36,3.28,1.29,0.85,125602653.0,418168881.7,-,398.49,37191205913.43,房地产-房地产开发-住宅开发,行业龙头
000009,中国宝安,,,,7.87,10.07,0.72,7.87,6.9,5.6,4.31,144318475.0,1105250726.89,0.38,202.98,20273281059.55,电力设备-电池-电池化学品,核心供应商
000020,深华发A,,,,10.5,1.25,0.13,10.59,10.26,2.47,1.36,4468400.0,46827166.0,-,29.73,2113241521.38,电子-光学光电子-面板,核心供应商
000021,深科技,,,,37.23,2.22,0.81,39.51,37.21,10.0,0.81,157402853.0,6071401514.78,0.59,586.14,58605812243.4,电子-消费电子-消费电子零部件及组装,核心供应商
000032,深桑达A,广东,主板,"国资云概念,LED概念,乡村振兴,数字经济,大央企重组,抖音概念,芯片概念,深圳特区,央企央资,国产操作系统,无线充电,阿里概念,华为鲲鹏,数据要素,智慧政务,政府控股,低空经济,融资融券,转融券标的,东数西算/算力,体育产业,数据中心,方舱医院,铁路基建,数据确权,国企改革,算力一体机,DeepSeek概念股,智能医疗,纳入富时罗素,碳中和,大数据,专精特新,工业互联网,节能照明,元宇宙,数字乡村,柔性屏,粤港澳自贸区,信创,算力租赁,人工智能,AI语料,云计算,数据安全,安防概念,数字孪生,深股通,数字中国,智慧城市,小盘股,可控核聚变,高铁,TMT",13.12,-3.1,-0.42,13.85,13.06,5.03,1.03,61117942.0,809166528.46,0.19,159.43,15943152560.32,建筑装饰-专业工程-其他专业工程,专精特新
000034,神州数码,,,,24.1,3.3,0.77,24.77,24.09,6.21,1.02,52698540.0,1287199518.12,0.22,245.03,20464462992.2,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商
000039,中集集团,,,,8.67,-0.34,-0.03,8.78,8.54,1.75,0.92,40271375.0,347318450.85,-,467.53,40279649067.32,机械设备-通用设备-金属制品,行业龙头
000045,深纺织A,,,,9.62,1.05,0.1,9.71,9.53,2.0,0.91,9161486.0,88222886.15,0.5,48.73,4560224600.48,电子-光学光电子-面板,核心供应商
000048,京基智农,,,,18.81,10.0,1.71,18.81,17.6,3.34,1.27,17657687.0,329786832.49,1.98,99.73,9956184727.5,农林牧渔-养殖业-生猪养殖,行业龙头
000049,德赛电池,,,,24.4,0.25,0.06,24.64,24.16,2.09,0.85,8035390.0,196869609.64,0.94,93.85,9382650632.8,电力设备-电池-锂电池,核心供应商
000050,深天马A,,,,6.47,0.31,0.02,6.64,6.45,1.56,1.24,38064971.0,247821770.66,-,157.59,15759344386.78,电子-光学光电子-面板,核心供应商
000062,深圳华强,广东,,"半导体产业,汇金持股,中盘股,标普道琼斯中国,新能源车,第三代半导体,芯片概念,深圳特区,华为海思概念,华为概念,创投,6G,互联网金融,华为昇腾,粤港澳自贸区,MLCC,机器人概念,共封装光模块(CPO）,分拆上市预期,雄安新区,融资融券,行业龙头,转融券标的,深股通,智慧城市,碳化硅,汽车电子概念,被动元件概念,电商概念,第四代半导体,人形机器人,比亚迪概念,动漫概念,存储器,TMT,传感器,纳入富时罗素",21.78,4.91,1.02,22.16,21.53,2.88,1.51,30068619.0,657041627.4,2.3,227.8,22757923677.06,电子-其他电子Ⅱ-其他电子Ⅲ,核心供应商/行业龙头
000063,中兴通讯,,,,33.81,1.53,0.51,34.61,33.8,3.46,0.98,139157075.0,4754838962.28,1.21,1617.31,152431206052.67,通信-通信设备-通信网络设备及器件,行业龙头
