stock_keyword,futures_symbol,commodity,exchange,spot_var,inventory_symbol,receipt_symbol,weight,chain_name
锂矿|锂|碳酸锂|盐湖提锂|天齐|赣锋,碳酸锂主连,碳酸锂,GFEX,LC,碳酸锂,LC,10,锂电池
铜矿|铜|阴极铜|电解铜,沪铜主连,铜,SHFE,CU,沪铜,CU,10,有色金属
铝土矿|铝|电解铝|氧化铝,沪铝主连,铝,SHFE,AL,沪铝,AL,9,有色金属
锌矿|锌,沪锌主连,锌,SHFE,ZN,沪锌,ZN,8,有色金属
镍矿|镍|硫酸镍,沪镍主连,镍,SHFE,NI,镍,NI,8,有色金属
锡矿|锡,沪锡主连,锡,SHFE,SN,锡,SN,8,有色金属
铅矿|铅,沪铅主连,铅,SHFE,PB,沪铅,PB,6,有色金属
黄金|金矿|贵金属,沪金主连,黄金,SHFE,AU,沪金,AU,8,贵金属
白银|银矿,沪银主连,白银,SHFE,AG,沪银,AG,8,贵金属
螺纹钢|建筑钢材|钢筋,螺纹钢主连,螺纹钢,SHFE,RB,螺纹钢,RB,10,钢铁
热卷|热轧卷板|钢卷,热卷主连,热卷,SHFE,HC,热卷,HC,8,钢铁
铁矿石|铁矿,铁矿石主连,铁矿石,DCE,I,铁矿石,I,10,钢铁
焦煤,焦煤主连,焦煤,DCE,JM,焦煤,JM,10,煤焦钢
焦炭,焦炭主连,焦炭,DCE,J,焦炭,J,10,煤焦钢
动力煤|煤炭,动力煤主连,动力煤,CZCE,ZC,动力煤,ZC,8,煤炭
工业硅|硅料|多晶硅,工业硅主连,工业硅,GFEX,SI,工业硅,SI,8,光伏
玻璃,玻璃主连,玻璃,CZCE,FG,玻璃,FG,6,光伏/建材
纯碱,纯碱主连,纯碱,CZCE,SA,纯碱,SA,6,光伏/化工
原油|石油,原油主连,原油,INE,SC,原油,SC,10,石油化工
燃料油,燃油主连,燃料油,SHFE,FU,燃料油,FU,7,石油化工
沥青,沥青主连,沥青,SHFE,BU,沥青,BU,6,石油化工
PTA,PTA主连,PTA,CZCE,TA,PTA,TA,6,化工
甲醇,甲醇主连,甲醇,CZCE,MA,甲醇,MA,6,化工
尿素,尿素主连,尿素,CZCE,UR,尿素,UR,6,化工
橡胶|天然橡胶,橡胶主连,橡胶,SHFE,RU,橡胶,RU,6,化工
纸浆,纸浆主连,纸浆,SHFE,SP,纸浆,SP,5,造纸
生猪|猪肉,生猪主连,生猪,DCE,LH,生猪,LH,8,养殖
豆粕|饲料,豆粕主连,豆粕,DCE,M,豆粕,M,8,养殖
玉米,玉米主连,玉米,DCE,C,玉米,C,8,农业
棉花|纺织,棉花主连,棉花,CZCE,CF,棉花,CF,6,纺织
白糖,白糖主连,白糖,CZCE,SR,白糖,SR,6,食品
